F_moment_capacity_Nmm,F_compression_area_mm2,F_compression_force_N,F_moment_demand_Nmm,R_mass_kg,R_number_per_row_dimensionless
5.723617255102477e6,11812.5,29927.41048419596,5.723617255102477e6,0.5593575530974721,1
5.386933887155273e6,15750.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.050250519208068e6,19687.5,29927.41048419596,5.050250519208068e6,0.5593575530974721,1
7.463147989496367e6,4593.75,29927.41048419596,7.463147989496367e6,0.5593575530974721,1
7.070350726891295e6,9187.5,29927.41048419596,7.070350726891295e6,0.5593575530974721,1
6.677553464286223e6,13781.25,29927.41048419596,6.677553464286223e6,0.5593575530974721,1
6.284756201681152e6,18375.0,29927.41048419596,6.284756201681152e6,0.5593575530974721,1
5.89195893907608e6,22968.75,29927.41048419596,5.89195893907608e6,0.5593575530974721,1
8.529311987995848e6,5250.0,29927.41048419596,8.529311987995848e6,0.5593575530974721,1
8.080400830732909e6,10500.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.63148967346997e6,15750.0,29927.41048419596,7.63148967346997e6,0.5593575530974721,1
7.18257851620703e6,21000.0,29927.41048419596,7.18257851620703e6,0.5593575530974721,1
6.733667358944091e6,26250.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
9.595475986495329e6,5906.25,29927.41048419596,9.595475986495329e6,0.5593575530974721,1
9.090450934574522e6,11812.5,29927.41048419596,9.090450934574522e6,0.5593575530974721,1
8.585425882653715e6,17718.75,29927.41048419596,8.585425882653715e6,0.5593575530974721,1
8.080400830732909e6,23625.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.575375778812102e6,29531.25,29927.41048419596,7.575375778812102e6,0.5593575530974721,1
1.066163998499481e7,6562.5,29927.41048419596,1.066163998499481e7,0.5593575530974721,1
1.0100501038416136e7,13125.0,29927.41048419596,1.0100501038416136e7,0.5593575530974721,1
9.539362091837462e6,19687.5,29927.41048419596,9.539362091837462e6,0.5593575530974721,1
8.978223145258788e6,26250.0,29927.41048419596,8.978223145258788e6,0.5593575530974721,1
8.417084198680114e6,32812.5,29927.41048419596,8.417084198680114e6,0.5593575530974721,1
8.529311987995848e6,5250.0,29927.41048419596,8.529311987995848e6,0.5593575530974721,1
8.080400830732909e6,10500.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.63148967346997e6,15750.0,29927.41048419596,7.63148967346997e6,0.5593575530974721,1
7.18257851620703e6,21000.0,29927.41048419596,7.18257851620703e6,0.5593575530974721,1
6.733667358944091e6,26250.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
9.950863985995157e6,6125.0,29927.41048419596,9.950863985995157e6,0.5593575530974721,1
9.427134302521728e6,12250.0,29927.41048419596,9.427134302521728e6,0.5593575530974721,1
8.903404619048297e6,18375.0,29927.41048419596,8.903404619048297e6,0.5593575530974721,1
8.379674935574869e6,24500.0,29927.41048419596,8.379674935574869e6,0.5593575530974721,1
7.855945252101439e6,30625.0,29927.41048419596,7.855945252101439e6,0.5593575530974721,1
1.1372415983994465e7,7000.0,29927.41048419596,1.1372415983994465e7,0.5593575530974721,1
1.0773867774310546e7,14000.0,29927.41048419596,1.0773867774310546e7,0.5593575530974721,1
1.0175319564626627e7,21000.0,29927.41048419596,1.0175319564626627e7,0.5593575530974721,1
9.576771354942707e6,28000.0,29927.41048419596,9.576771354942707e6,0.5593575530974721,1
8.978223145258788e6,35000.0,29927.41048419596,8.978223145258788e6,0.5593575530974721,1
1.2793967981993772e7,7875.0,29927.41048419596,1.2793967981993772e7,0.5593575530974721,1
1.2120601246099364e7,15750.0,29927.41048419596,1.2120601246099364e7,0.5593575530974721,1
1.1447234510204954e7,23625.0,29927.41048419596,1.1447234510204954e7,0.5593575530974721,1
1.0773867774310546e7,31500.0,29927.41048419596,1.0773867774310546e7,0.5593575530974721,1
1.0100501038416136e7,39375.0,29927.41048419596,1.0100501038416136e7,0.5593575530974721,1
1.421551997999308e7,8750.0,29927.41048419596,1.421551997999308e7,0.5593575530974721,1
1.3467334717888182e7,17500.0,29927.41048419596,1.3467334717888182e7,0.5593575530974721,1
1.2719149455783283e7,26250.0,29927.41048419596,1.2719149455783283e7,0.5593575530974721,1
1.1970964193678385e7,35000.0,29927.41048419596,1.1970964193678385e7,0.5593575530974721,1
1.1222778931573484e7,43750.0,29927.41048419596,1.1222778931573484e7,0.5593575530974721,1
4.264655993997924e6,3000.0,29927.41048419596,4.264655993997924e6,0.5593575530974721,1
4.0402004153664545e6,6000.0,29927.41048419596,4.0402004153664545e6,0.5593575530974721,1
3.815744836734985e6,9000.0,29927.41048419596,3.815744836734985e6,0.5593575530974721,1
3.591289258103515e6,12000.0,29927.41048419596,3.591289258103515e6,0.5593575530974721,1
3.3668336794720455e6,15000.0,29927.41048419596,3.3668336794720455e6,0.5593575530974721,1
4.975431992997578e6,3500.0,29927.41048419596,4.975431992997578e6,0.5593575530974721,1
4.713567151260864e6,7000.0,29927.41048419596,4.713567151260864e6,0.5593575530974721,1
4.451702309524149e6,10500.0,29927.41048419596,4.451702309524149e6,0.5593575530974721,1
4.1898374677874343e6,14000.0,29927.41048419596,4.1898374677874343e6,0.5593575530974721,1
3.9279726260507195e6,17500.0,29927.41048419596,3.9279726260507195e6,0.5593575530974721,1
5.686207991997233e6,4000.0,29927.41048419596,5.686207991997233e6,0.5593575530974721,1
5.386933887155273e6,8000.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.087659782313313e6,12000.0,29927.41048419596,5.087659782313313e6,0.5593575530974721,1
4.788385677471354e6,16000.0,29927.41048419596,4.788385677471354e6,0.5593575530974721,1
4.489111572629394e6,20000.0,29927.41048419596,4.489111572629394e6,0.5593575530974721,1
6.396983990996886e6,4500.0,29927.41048419596,6.396983990996886e6,0.5593575530974721,1
6.060300623049682e6,9000.0,29927.41048419596,6.060300623049682e6,0.5593575530974721,1
5.723617255102477e6,13500.0,29927.41048419596,5.723617255102477e6,0.5593575530974721,1
5.386933887155273e6,18000.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.050250519208068e6,22500.0,29927.41048419596,5.050250519208068e6,0.5593575530974721,1
7.10775998999654e6,5000.0,29927.41048419596,7.10775998999654e6,0.5593575530974721,1
6.733667358944091e6,10000.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
6.359574727891642e6,15000.0,29927.41048419596,6.359574727891642e6,0.5593575530974721,1
5.985482096839192e6,20000.0,29927.41048419596,5.985482096839192e6,0.5593575530974721,1
5.611389465786742e6,25000.0,29927.41048419596,5.611389465786742e6,0.5593575530974721,1
6.396983990996886e6,4500.0,29927.41048419596,6.396983990996886e6,0.5593575530974721,1
6.060300623049682e6,9000.0,29927.41048419596,6.060300623049682e6,0.5593575530974721,1
5.723617255102477e6,13500.0,29927.41048419596,5.723617255102477e6,0.5593575530974721,1
5.386933887155273e6,18000.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.050250519208068e6,22500.0,29927.41048419596,5.050250519208068e6,0.5593575530974721,1
7.463147989496367e6,5250.0,29927.41048419596,7.463147989496367e6,0.5593575530974721,1
7.070350726891295e6,10500.0,29927.41048419596,7.070350726891295e6,0.5593575530974721,1
6.677553464286223e6,15750.0,29927.41048419596,6.677553464286223e6,0.5593575530974721,1
6.284756201681152e6,21000.0,29927.41048419596,6.284756201681152e6,0.5593575530974721,1
5.89195893907608e6,26250.0,29927.41048419596,5.89195893907608e6,0.5593575530974721,1
8.529311987995848e6,6000.0,29927.41048419596,8.529311987995848e6,0.5593575530974721,1
8.080400830732909e6,12000.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.63148967346997e6,18000.0,29927.41048419596,7.63148967346997e6,0.5593575530974721,1
7.18257851620703e6,24000.0,29927.41048419596,7.18257851620703e6,0.5593575530974721,1
6.733667358944091e6,30000.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
9.595475986495329e6,6750.0,29927.41048419596,9.595475986495329e6,0.5593575530974721,1
9.090450934574522e6,13500.0,29927.41048419596,9.090450934574522e6,0.5593575530974721,1
8.585425882653715e6,20250.0,29927.41048419596,8.585425882653715e6,0.5593575530974721,1
8.080400830732909e6,27000.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.575375778812102e6,33750.0,29927.41048419596,7.575375778812102e6,0.5593575530974721,1
1.066163998499481e7,7500.0,29927.41048419596,1.066163998499481e7,0.5593575530974721,1
1.0100501038416136e7,15000.0,29927.41048419596,1.0100501038416136e7,0.5593575530974721,1
9.539362091837462e6,22500.0,29927.41048419596,9.539362091837462e6,0.5593575530974721,1
8.978223145258788e6,30000.0,29927.41048419596,8.978223145258788e6,0.5593575530974721,1
8.417084198680114e6,37500.0,29927.41048419596,8.417084198680114e6,0.5593575530974721,1
8.529311987995848e6,6000.0,29927.41048419596,8.529311987995848e6,0.5593575530974721,1
8.080400830732909e6,12000.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.63148967346997e6,18000.0,29927.41048419596,7.63148967346997e6,0.5593575530974721,1
7.18257851620703e6,24000.0,29927.41048419596,7.18257851620703e6,0.5593575530974721,1
6.733667358944091e6,30000.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
9.950863985995157e6,7000.0,29927.41048419596,9.950863985995157e6,0.5593575530974721,1
9.427134302521728e6,14000.0,29927.41048419596,9.427134302521728e6,0.5593575530974721,1
8.903404619048297e6,21000.0,29927.41048419596,8.903404619048297e6,0.5593575530974721,1
8.379674935574869e6,28000.0,29927.41048419596,8.379674935574869e6,0.5593575530974721,1
7.855945252101439e6,35000.0,29927.41048419596,7.855945252101439e6,0.5593575530974721,1
1.1372415983994465e7,8000.0,29927.41048419596,1.1372415983994465e7,0.5593575530974721,1
1.0773867774310546e7,16000.0,29927.41048419596,1.0773867774310546e7,0.5593575530974721,1
1.0175319564626627e7,24000.0,29927.41048419596,1.0175319564626627e7,0.5593575530974721,1
9.576771354942707e6,32000.0,29927.41048419596,9.576771354942707e6,0.5593575530974721,1
8.978223145258788e6,40000.0,29927.41048419596,8.978223145258788e6,0.5593575530974721,1
1.2793967981993772e7,9000.0,29927.41048419596,1.2793967981993772e7,0.5593575530974721,1
1.2120601246099364e7,18000.0,29927.41048419596,1.2120601246099364e7,0.5593575530974721,1
1.1447234510204954e7,27000.0,29927.41048419596,1.1447234510204954e7,0.5593575530974721,1
1.0773867774310546e7,36000.0,29927.41048419596,1.0773867774310546e7,0.5593575530974721,1
1.0100501038416136e7,45000.0,29927.41048419596,1.0100501038416136e7,0.5593575530974721,1
1.421551997999308e7,10000.0,29927.41048419596,1.421551997999308e7,0.5593575530974721,1
1.3467334717888182e7,20000.0,29927.41048419596,1.3467334717888182e7,0.5593575530974721,1
1.2719149455783283e7,30000.0,29927.41048419596,1.2719149455783283e7,0.5593575530974721,1
1.1970964193678385e7,40000.0,29927.41048419596,1.1970964193678385e7,0.5593575530974721,1
1.1222778931573484e7,50000.0,29927.41048419596,1.1222778931573484e7,0.5593575530974721,1
4.264655993997924e6,3375.0,29927.41048419596,4.264655993997924e6,0.5593575530974721,1
4.0402004153664545e6,6750.0,29927.41048419596,4.0402004153664545e6,0.5593575530974721,1
3.815744836734985e6,10125.0,29927.41048419596,3.815744836734985e6,0.5593575530974721,1
3.591289258103515e6,13500.0,29927.41048419596,3.591289258103515e6,0.5593575530974721,1
3.3668336794720455e6,16875.0,29927.41048419596,3.3668336794720455e6,0.5593575530974721,1
4.975431992997578e6,3937.5,29927.41048419596,4.975431992997578e6,0.5593575530974721,1
4.713567151260864e6,7875.0,29927.41048419596,4.713567151260864e6,0.5593575530974721,1
4.451702309524149e6,11812.5,29927.41048419596,4.451702309524149e6,0.5593575530974721,1
4.1898374677874343e6,15750.0,29927.41048419596,4.1898374677874343e6,0.5593575530974721,1
3.9279726260507195e6,19687.5,29927.41048419596,3.9279726260507195e6,0.5593575530974721,1
5.686207991997233e6,4500.0,29927.41048419596,5.686207991997233e6,0.5593575530974721,1
5.386933887155273e6,9000.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.087659782313313e6,13500.0,29927.41048419596,5.087659782313313e6,0.5593575530974721,1
4.788385677471354e6,18000.0,29927.41048419596,4.788385677471354e6,0.5593575530974721,1
4.489111572629394e6,22500.0,29927.41048419596,4.489111572629394e6,0.5593575530974721,1
6.396983990996886e6,5062.5,29927.41048419596,6.396983990996886e6,0.5593575530974721,1
6.060300623049682e6,10125.0,29927.41048419596,6.060300623049682e6,0.5593575530974721,1
5.723617255102477e6,15187.5,29927.41048419596,5.723617255102477e6,0.5593575530974721,1
5.386933887155273e6,20250.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.050250519208068e6,25312.5,29927.41048419596,5.050250519208068e6,0.5593575530974721,1
7.10775998999654e6,5625.0,29927.41048419596,7.10775998999654e6,0.5593575530974721,1
6.733667358944091e6,11250.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
6.359574727891642e6,16875.0,29927.41048419596,6.359574727891642e6,0.5593575530974721,1
5.985482096839192e6,22500.0,29927.41048419596,5.985482096839192e6,0.5593575530974721,1
5.611389465786742e6,28125.0,29927.41048419596,5.611389465786742e6,0.5593575530974721,1
6.396983990996886e6,5062.5,29927.41048419596,6.396983990996886e6,0.5593575530974721,1
6.060300623049682e6,10125.0,29927.41048419596,6.060300623049682e6,0.5593575530974721,1
5.723617255102477e6,15187.5,29927.41048419596,5.723617255102477e6,0.5593575530974721,1
5.386933887155273e6,20250.0,29927.41048419596,5.386933887155273e6,0.5593575530974721,1
5.050250519208068e6,25312.5,29927.41048419596,5.050250519208068e6,0.5593575530974721,1
7.463147989496367e6,5906.25,29927.41048419596,7.463147989496367e6,0.5593575530974721,1
7.070350726891295e6,11812.5,29927.41048419596,7.070350726891295e6,0.5593575530974721,1
6.677553464286223e6,17718.75,29927.41048419596,6.677553464286223e6,0.5593575530974721,1
6.284756201681152e6,23625.0,29927.41048419596,6.284756201681152e6,0.5593575530974721,1
5.89195893907608e6,29531.25,29927.41048419596,5.89195893907608e6,0.5593575530974721,1
8.529311987995848e6,6750.0,29927.41048419596,8.529311987995848e6,0.5593575530974721,1
8.080400830732909e6,13500.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.63148967346997e6,20250.0,29927.41048419596,7.63148967346997e6,0.5593575530974721,1
7.18257851620703e6,27000.0,29927.41048419596,7.18257851620703e6,0.5593575530974721,1
6.733667358944091e6,33750.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
9.595475986495329e6,7593.75,29927.41048419596,9.595475986495329e6,0.5593575530974721,1
9.090450934574522e6,15187.5,29927.41048419596,9.090450934574522e6,0.5593575530974721,1
8.585425882653715e6,22781.25,29927.41048419596,8.585425882653715e6,0.5593575530974721,1
8.080400830732909e6,30375.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.575375778812102e6,37968.75,29927.41048419596,7.575375778812102e6,0.5593575530974721,1
1.066163998499481e7,8437.5,29927.41048419596,1.066163998499481e7,0.5593575530974721,1
1.0100501038416136e7,16875.0,29927.41048419596,1.0100501038416136e7,0.5593575530974721,1
9.539362091837462e6,25312.5,29927.41048419596,9.539362091837462e6,0.5593575530974721,1
8.978223145258788e6,33750.0,29927.41048419596,8.978223145258788e6,0.5593575530974721,1
8.417084198680114e6,42187.5,29927.41048419596,8.417084198680114e6,0.5593575530974721,1
8.529311987995848e6,6750.0,29927.41048419596,8.529311987995848e6,0.5593575530974721,1
8.080400830732909e6,13500.0,29927.41048419596,8.080400830732909e6,0.5593575530974721,1
7.63148967346997e6,20250.0,29927.41048419596,7.63148967346997e6,0.5593575530974721,1
7.18257851620703e6,27000.0,29927.41048419596,7.18257851620703e6,0.5593575530974721,1
6.733667358944091e6,33750.0,29927.41048419596,6.733667358944091e6,0.5593575530974721,1
9.950863985995157e6,7875.0,29927.41048419596,9.950863985995157e6,0.5593575530974721,1
9.427134302521728e6,15750.0,29927.41048419596,9.427134302521728e6,0.5593575530974721,1
8.903404619048297e6,23625.0,29927.41048419596,8.903404619048297e6,0.5593575530974721,1
8.379674935574869e6,31500.0,29927.41048419596,8.379674935574869e6,0.5593575530974721,1
7.855945252101439e6,39375.0,29927.41048419596,7.855945252101439e6,0.5593575530974721,1
1.1372415983994465e7,9000.0,29927.41048419596,1.1372415983994465e7,0.5593575530974721,1
1.0773867774310546e7,18000.0,29927.41048419596,1.0773867774310546e7,0.5593575530974721,1
1.0175319564626627e7,27000.0,29927.41048419596,1.0175319564626627e7,0.5593575530974721,1
9.576771354942707e6,36000.0,29927.41048419596,9.576771354942707e6,0.5593575530974721,1
8.978223145258788e6,45000.0,29927.41048419596,8.978223145258788e6,0.5593575530974721,1
1.2793967981993772e7,10125.0,29927.41048419596,1.2793967981993772e7,0.5593575530974721,1
1.2120601246099364e7,20250.0,29927.41048419596,1.2120601246099364e7,0.5593575530974721,1
1.1447234510204954e7,30375.0,29927.41048419596,1.1447234510204954e7,0.5593575530974721,1
1.0773867774310546e7,40500.0,29927.41048419596,1.0773867774310546e7,0.5593575530974721,1
1.0100501038416136e7,50625.0,29927.41048419596,1.0100501038416136e7,0.5593575530974721,1
1.421551997999308e7,11250.0,29927.41048419596,1.421551997999308e7,0.5593575530974721,1
1.3467334717888182e7,22500.0,29927.41048419596,1.3467334717888182e7,0.5593575530974721,1
1.2719149455783283e7,33750.0,29927.41048419596,1.2719149455783283e7,0.5593575530974721,1
1.1970964193678385e7,45000.0,29927.41048419596,1.1970964193678385e7,0.5593575530974721,1
1.1222778931573484e7,56250.0,29927.41048419596,1.1222778931573484e7,0.5593575530974721,1
4.264655993997924e6,3750.0,29927.41048419596,4.264655993997924e6,0.5593575530974721,1
4.0402004153664545e6,7500.0,29927.41048419596,4.0402004153664545e6,0.5593575530974721,1
3.815744836734985e6,11250.0,29927.41048419596,3.815744836734985e6,0.5593575530974721,1
3.591289258103515e6,15000.0,29927.41048419596,3.591289258103515e6,0.5593575530974721,1
3.3668336794720455e6,18750.0,29927.41048419596,3.3668336794720455e6,0.5593575530974721,1
4.975431992997578e6,4375.0,29927.41048419596,4.975431992997578e6,0.5593575530974721,1
4.713567151260864e6,8750.0,29927.41048419596,4.713567151260864e6,0.5593575530974721,1
4.451702309524149e6,13125.0,29927.41048419596,4.451702309524149e6,0.5593575530974721,1
4.1898374677874343e6,17500.0,29927.41048419596,4.1898374677874343e6,0.5593575530974721,1
3.9279726260507195e6,21875.0,29927.41048419596,3.9279726260507195e6,0.5593575530974721,1
5.686207991997233e6,5000.0,29927.41048419596,5.686207991997233e6,0.5593575530974721,1
